,,単語,意味,フレーズ,訳,英作問題,和訳問題,
1345 ,,dispose,処分する,dispose of garbage,ゴミを処分する,(    ) of garbage,ゴミを(    ),
1346 ,,refrain,控える,refrain from smoking,タバコを吸うのを控える,(    ) from smoking,タバコを吸うのを(    ),
1347 ,,accumulate,を蓄積する,accumulate knowledge,知識を蓄積する,(    ) knowledge,知識(    ),
1348 ,,boost,を活気づける,boost the economy,経済を活気づける,(    ) the economy,経済(    ),
1349 ,,drag,を引きずる,drag a heavy bag to the car,車まで重いかばんを引きずる,(    ) a heavy bag to the car,車まで重いかばん(    ),
1350 ,,revise,を修正する,revise the guidelines,ガイドラインを修正する,(    ) the guidelines,ガイドライン(    ),
1351 ,,scratch,をかく,scratch your back,君の背中をかく,(    ) your back,君の背中(    ),
1352 ,,roar,ほえる,roar like a lion,ライオンのようにほえる,(    ) like a lion,ライオンのように(    ),
1353 ,,quote,を引用する,quote the Bible,聖書を引用する,(    ) the Bible,聖書(    ),
1354 ,,bloom,咲く,when roses bloom,バラの花が咲く頃,when roses (    ),バラの花が(    )頃,
1355 ,,insert,を差し込む,insert the key into the hole,穴にかぎを差し込む,(    ) the key into the hole,穴にかぎ(    ),
1356 ,,await,を待つ,patients awaiting a heart transplant,心臓移植を待つ患者,patients (    ) a heart transplant,心臓移植(    )患者,
1357 ,,dread,を恐れる,dread going to the dentist,歯医者に行くのを恐れる,(    ) going to the dentist,歯医者に行くの(    ),
1358 ,,conceal,を隠す,conceal the fact from him,彼に事実を隠す,(    ) the fact from him,彼に事実(    ),
1359 ,,enrich,を豊かにする,Art enriches our lives.,芸術は人生を豊かにする,Art (    ) our lives.,芸術は人生(    ),
1360 ,,cling,固執する,cling to tradition,伝統に固執する,(    ) to tradition,伝統に(    ),
1361 ,,surpass,にまさる,surpass the US in technology,科学技術でアメリカにまさる,(    ) the US in technology,科学技術でアメリカ(    ),
1362 ,,suppress,を抑える,suppress anger,怒りを抑える,(    ) anger,怒り(    ),
1363 ,,portray,を描く,portray natural beauty,自然の美を描く,(    ) natural beauty,自然の美(    ),
1364 ,,soar,急上昇する,the soaring price of oil,急上昇する石油の価格,the (    ) price of oil,(    )石油の価格,
1365 ,,drain,を排出する,drain water from the tank,タンクから水を排出する,(    ) water from the tank,タンクから水(    ),
1366 ,,glow,ボーッと光る,glow in the dark,暗闇でボーッと光る,(    ) in the dark,暗闇で(    ),
1367 ,,migrate,移住する,migrate to California,カリフォルニアに移住する,(    ) to California,カリフォルニアに(    ),
1368 ,,exclaim,叫ぶ,exclaim in surprise,驚いて叫ぶ,(    ) in surprise,驚いて(    ),
1369 ,,exert,を及ぼす,exert a strong influence,強い影響を及ぼす,(    ) a strong influence,強い影響(    ),
1370 ,,disguise,を隠す,disguise anger with a smile,笑顔で怒りを隠す,(    ) anger with a smile,笑顔で怒り(    ),
1371 ,,accelerate,を加速する,accelerate the process of reform,改革の進行を加速する,(    ) the process of reform,改革の進行(    ),
1372 ,,dwell,住む,dwell in the forest,森にの中に住む,(    ) in the forest,森にの中に(    ),
1373 ,,integrate,融けこませる,integrate immigrants into society,社会に移民を融けこませる,(    ) immigrants into society,社会に移民を(    ),
1374 ,,weep,泣く,weep all night long,一晩中泣く,(    ) all night long,一晩中(    ),
1375 ,,reassure,を安心させる,reassure the patient,患者を安心させる,(    ) the patient,患者(    ),
1376 ,,crawl,はって進む,crawl into bed,ベッドまではって進む,(    ) into bed,ベッドまで(    ),
1377 ,,restrain,を抑制する,restrain inflation,インフレを抑制する,(    ) inflation,インフレ(    ),
1378 ,,resent,に腹を立てる,resent being called foreigners,外人と呼ばれるのに腹を立てる,(    ) being called foreigners,外人と呼ばれるの(    ),
1379 ,,yell,大声で叫ぶ,yell at the children,子供たちに大声で叫ぶ,(    ) at the children,子供たちに(    ),
1380 ,,assess,を評価する,assess students' ability,学生の能力を評価する,(    ) students' ability,学生の能力(    ),
1381 ,,carve,を彫る,carve her name in stone,石に彼女の名前を彫る,(    ) her name in stone,石に彼女の名前(    ),
1382 ,,halt,を止める,halt global warming,地球温暖化を止める,(    ) global warming,地球温暖化(    ),
1383 ,,inspect,を検査する,inspect the car for defects,欠陥がないか車を検査する,(    ) the car for defects,欠陥がないか車(    ),
1384 ,,tackle,に取り組む,tackle environmental problems,環境問題に取り組む,(    ) environmental problems,環境問題(    ),
1385 ,,omit,を省く,omit the word,その言葉を省く,(    ) the word,その言葉(    ),
1386 ,,chew,かむ,chew food well,食べ物をよくかむ,(    ) food well,食べ物をよく(    ),
1387 ,,resume,を再開する,resume normal activities,ふだんの活動を再開する,(    ) normal activities,ふだんの活動(    ),
1388 ,,mold,を作る,mold plastic products,プラスティック製品を作る,(    ) plastic products,プラスティック製品(    ),
1389 ,,accommodate,を収容できる,can accommodate 800 people,800人を収容できる,can (    ) 800 people,800人(    ),
1390 ,,erase,を消す,erase the data,データを消す,(    ) the data,データ(    ),
1391 ,,infer,推量する,can be inferred from the passage,文章から推量することができる,can be (    ) from the passage,文章から(    )ことができる,
1392 ,,revive,を生き返らせる,revive the British economy,英国経済を生き返らせる,(    ) the British economy,英国経済(    ),
1393 ,,contemplate,を考える,contemplate marrying him,彼との結婚を考える,(    ) marrying him,彼との結婚(    ),
1394 ,,rotate,回転する,The earth rotates once a day.,地球は日に１回回転する,The earth (    ) once a day.,地球は日に１回(    ),
1395 ,,disrupt,をかき乱す,disrupt their lives,彼らの生活をかき乱す,(    ) their lives,彼らの生活(    ),
1396 ,,navigate,進路を決める,navigate by the stars,星によって進路を決める,(    ) by the stars,星によって(    ),
1397 ,,ache,痛む,My whole body aches.,体中が痛む,My whole body (    ).,体中が(    ),
1398 ,,discard,を捨てる,discard old ideas,古い考えを捨てる,(    ) old ideas,古い考え(    ),
1399 ,,incorporate,を取り入れる,incorporate the Internet into the classroom,教室にインターネットを取り入れる,(    ) the Internet into the classroom,教室にインターネット(    ),
1400 ,,overtake,を追い越す,overtake Japan in PC sales,パソコンの売上で日本を追い越す,(    ) Japan in PC sales,パソコンの売上で日本(    ),
1401 ,,supplement,を補う,supplement your diet,食事を補う,(    ) your diet,食事(    ),
1402 ,,manipulate,を操作する,manipulate a computer,コンピューターを操作する,(    ) a computer,コンピューター(    ),
1403 ,,nourish,を養う,nourish children's abilities,子供たちの能力を養う,(    ) children's abilities,子供たちの能力(    ),
1404 ,,squeeze,をしぼる,squeeze an orange,オレンジをしぼる,(    ) an orange,オレンジ(    ),
1405 ,,depict,を描く,depict him as a hero,英雄として彼を描く,(    ) him as a hero,英雄として彼(    ),
1406 ,,distract,をそらす,distract attention from the problem,問題から注意をそらす,(    ) attention from the problem,問題から注意(    ),
1407 ,,disclose,を暴露する,disclose his secret,彼の秘密を暴露する,(    ) his secret,彼の秘密(    ),
1408 ,,enroll,入学する,enroll in medical school,医学部に入学する,(    ) in medical school,医学部に(    ),
1409 ,,nurture,を育てる,nurture new technology,新しい科学技術を育てる,(    ) new technology,新しい科学技術(    ),
1410 ,,speculate,推測する,speculate about the future,将来のことを推測する,(    ) about the future,将来のことを(    ),
1411 ,,prolong,を延ばす,prolong life,寿命を延ばす,(    ) life,寿命(    ),
1412 ,,execute,を処刑する,execute the murderer,殺人犯を処刑する,(    ) the murderer,殺人犯(    ),
1413 ,,uncover,を明らかにする,uncover new evidence,新しい証拠を明らかにする,(    ) new evidence,新しい証拠(    ),
1414 ,,tremble,ふるえる,tremble with fear,恐怖でふるえる,(    ) with fear,恐怖で(    ),
1415 ,,seize,をつかむ,seize the opportunity,チャンスをつかむ,(    ) the opportunity,チャンス(    ),
1416 ,,abolish,を廃止する,abolish slavery,奴隷制を廃止する,(    ) slavery,奴隷制(    ),
1417 ,,scold,をしかる,scold my son for being lazy,怠けたことで息子をしかる,(    ) my son for being lazy,怠けたことで息子(    ),
1418 ,,attain,を達成する,attain the goal,目標を達成する,(    ) the goal,目標(    ),
1419 ,,utter,を発する,utter a word,言葉を発する,(    ) a word,言葉(    ),
1420 ,,flee,逃げる,flee to free countries,自由な国に逃げる,(    ) to free countries,自由な国に(    ),
1421 ,,offend,を怒らせる,avoid offending others,他人を怒らせるのを避ける,avoid (    ) others,他人(    )のを避ける,
1422 ,,confess,と告白する,confess that I did it,私がやったと告白する,(    ) that I did it,私がやった(    ),
1423 ,,postpone,を延期する,postpone making a decision,決定するのを延期する,(    ) making a decision,決定するの(    ),
1424 ,,drift,ただよう,drift like a cloud,雲のようにただよう,(    ) like a cloud,雲のように(    ),
1425 ,,weave,を織る,weave cotton cloth,木綿の布を織る,(    ) cotton cloth,木綿の布(    ),
1426 ,,install,を備えつける,install solar panels in the roof,屋根にソーラーパネルを備えつける,(    ) solar panels in the roof,屋根にソーラーパネル(    ),
1427 ,,twist,をねじ曲げる,twist a wire,針金をねじ曲げる,(    ) a wire,針金(    ),
1428 ,,extract,を取り出す,extract DNA from blood,血液からDNAを取り出す,(    ) DNA from blood,血液からDNA(    ),
1429 ,,bump,ぶつかる,bump into someone,人にぶつかる,(    ) into someone,人に(    ),
1430 ,,despise,を軽蔑する,Don't despise poor people.,貧しい人を軽蔑するな,Don't (    ) poor people.,貧しい人(    )な,
1431 ,,tolerate,を我慢する,tolerate pain,苦痛を我慢する,(    ) pain,苦痛(    ),
1432 ,,boast,自慢する,boast of being rich,金持ちなのを自慢する,(    ) of being rich,金持ちなのを(    ),
1433 ,,flourish,栄えている,The European economy is flourishing.,ヨーロッパ経済は栄えている,The European economy is (    ).,ヨーロッパ経済は(    ),
1434 ,,disregard,を無視する,disregard safety rules,安全規則を無視する,(    ) safety rules,安全規則(    ),
1435 ,,tease,をからかう,Don't tease me!,私をからかうな,Don't (    ) me!,私(    )な,
1436 ,,reinforce,を強める,reinforce the belief,信念を強める,(    ) the belief,信念(    ),
1437 ,,strive,努力する,strive to survive,生き残るために努力する,(    ) to survive,生き残るために(    ),
1438 ,,coordinate,を合わせる,coordinate movements with each other,互いに動きを合わせる,(    ) movements with each other,互いに動き(    ),
1439 ,,yawn,あくびをする,yawn when you are bored,退屈なときにあくびをする,(    ) when you are bored,退屈なときに(    ),
1440 ,,hug,を抱きしめて,hug and kiss him,彼を抱きしめてキスをする,(    ) and kiss him,彼(    )キスをする,
1441 ,,combat,と戦う,combat global warming,地球温暖化と戦う,(    ) global warming,地球温暖化(    ),
1442 ,,knit,を編む,knit a sweater,セーターを編む,(    ) a sweater,セーター(    ),
